Gemeente,Naam,Functie,TOOI
Gemeente Vlissingen,Contactpersoon gemeente Vlissingen,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0718
Gemeente Voerendaal,Woo-coördinator,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0986
Gemeente Voorschoten,Juridische Zaken,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0626
Gemeente Waadhoeke,Team contactpersoon Woo,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm1949
Gemeente Waddinxveen,Team Woo,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0627
Gemeente Wassenaar,team Juridische Zaken,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0629
Gemeente Waterland,Adviseur (digitale) informatievoorziening,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0852
Gemeente Waterland,Juridische Zaken,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0852
Gemeente West Maas en Waal,Woo-contactpersoon,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0668
Gemeente Westerveld,Team Juridische zaken,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm1701
Gemeente Westerwolde,KCC (Klant Contact Centrum),Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm1950
Gemeente Westland,"Team Juridische Zaken, Inkoop en Gegevensbescherming (JIG)",Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm1783
Gemeente Weststellingwerf,cluster Juridisch van team Advies en Organisatie,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0098
Gemeente Weststellingwerf,cluster Juridisch van team Advies en Organisatie,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0098
Gemeente Wijdemeren,Woo-contactpersoon,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm1696
Gemeente Wijk bij Duurstede,Afdeling Juridische Zaken,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0352
Gemeente Winterswijk,Woo-contactpersoon,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0294
Gemeente Woensdrecht,Contactpersoon voor de gemeenteraad,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0873
Gemeente Woensdrecht,Contactpersoon voor college en burgemeester,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0873
Gemeente Woensdrecht,Griffier,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0873
Gemeente Woensdrecht,Informatiemanager Dienstverlening,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0873
Gemeente Woerden,Afdeling KCC,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0632
Gemeente Woudenberg,Woo-functionaris,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0351
Gemeente Zaanstad,"Klachten-, Woo- en AVG coördinaat",Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0479
Gemeente Zaltbommel,afdeling Juridische Zaken (JZ),Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0297
Gemeente Zandvoort,Afdeling Juridische Zaken,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0473
Gemeente Zeewolde,Publiekscentrum,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0050
Gemeente Zeist,Woo Team,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0355
Gemeente Zevenaar,Team Woo,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0299
Gemeente Zoetermeer,https://loket.zoetermeer.nl/aanvraag?schema=vraagoverwoo&productsleutel=vraagoverwoo,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0637
Gemeente Zoetermeer,Woo-coördinator,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0637
Gemeente Zoeterwoude,Juridische zaken Zoeterwoude,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0638
Gemeente Zuidplas,Lorena Andriessen - Bermudez Escobar,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm1892
Gemeente Zundert,Woo-contactpersoon,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0879
Gemeente Zundert,Woo-contactpersoon gemeente Zundert,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0879
Gemeente Zwijndrecht,Afdeling Staf,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0642
